Wavelength (A)	Intensity [J/eV/sr/cm^2]
 6.02621E+00	 1.10154E-04
 6.02644E+00	 9.02249E-05
 6.02667E+00	 7.03915E-05
 6.02690E+00	 6.17644E-05
 6.02713E+00	 6.46454E-05
 6.02736E+00	 6.74735E-05
 6.02759E+00	 7.07710E-05
 6.02782E+00	 7.48908E-05
 6.02805E+00	 8.14403E-05
 6.02828E+00	 9.97019E-05
 6.02851E+00	 1.17911E-04
 6.02874E+00	 1.38508E-04
 6.02897E+00	 1.54942E-04
 6.02920E+00	 1.71445E-04
 6.02943E+00	 1.72429E-04
 6.02966E+00	 1.70694E-04
 6.02989E+00	 1.57890E-04
 6.03012E+00	 1.30895E-04
 6.03035E+00	 1.04252E-04
 6.03058E+00	 8.48074E-05
 6.03081E+00	 6.90004E-05
 6.03103E+00	 5.39603E-05
 6.03126E+00	 5.04515E-05
 6.03149E+00	 4.85228E-05
 6.03172E+00	 4.89694E-05
 6.03195E+00	 5.45062E-05
 6.03218E+00	 6.04548E-05
 6.03241E+00	 6.81582E-05
 6.03264E+00	 7.66193E-05
 6.03287E+00	 8.49562E-05
 6.03310E+00	 7.68683E-05
 6.03333E+00	 6.68422E-05
 6.03356E+00	 6.06671E-05
 6.03379E+00	 6.68808E-05
 6.03402E+00	 7.30954E-05
 6.03425E+00	 8.03813E-05
 6.03448E+00	 8.84898E-05
 6.03471E+00	 9.63766E-05
 6.03494E+00	 7.64119E-05
 6.03517E+00	 5.38724E-05
 6.03540E+00	 3.67685E-05
 6.03563E+00	 3.51853E-05
 6.03586E+00	 3.66194E-05
 6.03609E+00	 4.44028E-05
 6.03632E+00	 5.46224E-05
 6.03655E+00	 6.01951E-05
 6.03678E+00	 7.51750E-05
 6.03701E+00	 9.97770E-05
 6.03724E+00	 1.29336E-04
 6.03747E+00	 1.58202E-04
 6.03770E+00	 1.70100E-04
 6.03793E+00	 1.54931E-04
 6.03816E+00	 1.24645E-04
 6.03839E+00	 9.67495E-05
 6.03862E+00	 9.27314E-05
 6.03885E+00	 9.18548E-05
 6.03908E+00	 9.25612E-05
 6.03931E+00	 9.60667E-05
 6.03954E+00	 9.85008E-05
 6.03977E+00	 9.80404E-05
 6.04000E+00	 9.59714E-05
 6.04023E+00	 9.39698E-05
 6.04046E+00	 9.41801E-05
 6.04069E+00	 9.59245E-05
 6.04092E+00	 1.04360E-04
 6.04115E+00	 1.27487E-04
 6.04138E+00	 1.50458E-04
 6.04161E+00	 1.51753E-04
 6.04184E+00	 1.41430E-04
 6.04207E+00	 1.30957E-04
 6.04229E+00	 9.88019E-05
 6.04252E+00	 6.67677E-05
 6.04275E+00	 4.57991E-05
 6.04298E+00	 6.03069E-05
 6.04321E+00	 7.81798E-05
 6.04344E+00	 8.73109E-05
 6.04367E+00	 7.13952E-05
 6.04390E+00	 5.56667E-05
 6.04413E+00	 5.99467E-05
 6.04436E+00	 6.91517E-05
 6.04459E+00	 7.71739E-05
 6.04482E+00	 9.03155E-05
 6.04505E+00	 1.03376E-04
 6.04528E+00	 9.61503E-05
 6.04551E+00	 7.34006E-05
 6.04574E+00	 5.18479E-05
 6.04597E+00	 7.15926E-05
 6.04620E+00	 9.23858E-05
 6.04643E+00	 1.01895E-04
 6.04666E+00	 9.25345E-05
 6.04689E+00	 8.32556E-05
 6.04712E+00	 8.65495E-05
 6.04735E+00	 9.50416E-05
 6.04758E+00	 1.02584E-04
 6.04781E+00	 9.31975E-05
 6.04804E+00	 8.37903E-05
 6.04827E+00	 7.07472E-05
 6.04850E+00	 5.20167E-05
 6.04873E+00	 3.33961E-05
 6.04896E+00	 2.82942E-05
 6.04919E+00	 2.82908E-05
 6.04942E+00	 2.89244E-05
 6.04965E+00	 3.54585E-05
 6.04988E+00	 4.19421E-05
 6.05011E+00	 4.21606E-05
 6.05034E+00	 3.30234E-05
 6.05057E+00	 2.45874E-05
 6.05080E+00	 3.26610E-05
 6.05103E+00	 4.54731E-05
 6.05126E+00	 5.72642E-05
 6.05149E+00	 9.03541E-05
 6.05172E+00	 1.23301E-04
 6.05195E+00	 1.36983E-04
 6.05218E+00	 1.22503E-04
 6.05241E+00	 1.07969E-04
 6.05264E+00	 1.01512E-04
 6.05287E+00	 9.75960E-05
 6.05309E+00	 9.27746E-05
 6.05332E+00	 8.74889E-05
 6.05355E+00	 8.21134E-05
 6.05378E+00	 7.05556E-05
 6.05401E+00	 5.14324E-05
 6.05424E+00	 3.28795E-05
 6.05447E+00	 3.67803E-05
